trial_id,typing_speed_cpm,directional_accuracy_pct
1,19.248219807279927,92.75666362146296
2,16.75375925054135,96.23430731301009
3,17.089563335771853,87.73478517316231
4,16.60459090458687,89.10220146112893
5,16.781341537531922,91.66289819848497
6,15.61681834648836,92.97631960683435
7,14.982307619915643,92.41726159023203
8,16.72715841939392,92.46125464820561
9,13.57819810715513,94.01926478564428
10,16.88814646846733,92.18239918829259
11,16.634576192907232,93.59696753374833
12,15.293199360056102,92.8241157470113
13,16.226434371339067,90.75723994277666
14,15.089353532547442,90.11482574739985
15,14.880115340438898,89.64148399187017
16,17.146067811116485,93.21187911795408
17,16.22895318684606,91.70806670883232
18,18.374508788935394,96.75438698815128
19,19.127160735749534,92.59531739692254
20,16.820210662646698,96.99163071342392
